Artist,Song Title,Tempo,Loudness,Energy,Genre,verse,chorus
Bob Brozman,The Lonesome Road,76.247,-15.873,0.127,7,   Weary totin' such a load Travelin' down that lonesome road Look down look down that lonesome road Before you travel on. Weary totin' it's such a load Whike I'm travelin' down travelin' down that lonesome old road,  Look down look down that lonesome road Before you travel on. Look up look up and greet your maker For Gabriel blows his horn.   Look down look down that lonesome road Before you travel on. Look up look up and greet your maker For Gabriel blows his horn.
Chris Cornell,Before We Disappear,147.349,-5.635,0.6729999999999999,8,   Time aint nothing if it aint fast Taking everything that you ever had And giving nothing in return But a cold bed in the quiet earth     Life aint nothing if it aint hard Itll show you who you truly are Knock you down when you get too tall Till you spun around in a free fall ,  How hard can it be To share your life with me? How hard can it be To rise with me each morning I know that it feels like We will live forever but I fear That time will hide the years    So how hard can it be To share your life with me? How hard can it be To rise with me each morning I know that it feels like We will live for ever but I fear That time can hide the years Like we were never here So hold on tightly my dear    So how hard can it be (how hard) To share your life with me? How hard can it be To rise with me each morning I know that it feels like We will live forever but I fear That time can hide the years Like we were never here So hold on tightly my dear  
Chris Cornell,Bend In The Road,152.007,-5.76,0.58,8,   I set off for the shore And I finally slipped away From the ones i adored And the place i was raised And I rode down the road Just to watch it go by And when and where is love? Maybe nowhere tonight,  Everyone needs a touch Or a shoulder for crying The say love is a crutch I say love is blind And thats all that she needed But I could not supply When a bend in the road Put it out of my mind
Chris Cornell,Circling,179.821,-8.071,0.441,8,   Night falls while drunken angels Sleep by the side of the road And I'm nodding in a stairwell Just trying to stay out of the cold    Light breaks in through the window Takes a minute to know where I am A dying blackbird Gives her soul to the wind On the roof of the house That I can see from the bed    I'd crawl a hundred thousand miles Just to see your two eyes look me over I'd steal you flowers in the bloodshot light Of the lonely hours on a moonless night Just like a stray dog in the rain I can run all night and get nowhere I picture you out underneath the porch light Calling my name all night And waiting for me    Circling around the drain Hope that I make it home I never felt so far away Dark is the heart That wanders.,  Circling around the drain Can't find my way back to home The road is long And never ends Dark is the heart that wanders   Circling around the drain Show me the way back home The road is long It never ends Dark is the heart that wanders
Chris Cornell,Dead Wishes,100.026,-5.5710000000000015,0.716,8,   Staring in the mirror with two borrowed eyes Looking for the part of me that's still alive Waiting for my chest to fall and rise Standing on the corner With my shirt tucked in Summer turns to autumn winter turns to spring And it all flies by like a speeding train    Waiting for the night to come and chase away All the flies hovering around my head With my memory for a pillow And all my regrets for a bed  Standing on the corner now I'm passed surprise Yelling out a warning to some passer by I stand just as God made me And I lie down in disguise    Standing on the corner don't apologize You don't have to bow your head or raise your eyes Or pretend that you don't see me,  Dead wishes on a broken chain White roses in a dead man's dream Down and out with everything to lose If these long dead wishes Ever do come true   Dead wishes on a burning lake White roses from my soul to keep Down and out with everything to win If my long since sunken ship Ever does come in (Round and round we all fall down And that's how ancient mountains crumble)   Dead wishes on a broken chain White roses in a dead man's dream Down and out with everything to lose If these long dead wishes Ever do come true  (Round and round we all fall down And that's how ancient mountains crumble)
Chris Cornell,Higher Truth,119.531,-5.426,0.792,8,   You can make somebody cry Go on Do what you like Ill be there by your side I know What the future holds  You can set the world on fire Yeah if you want It isnt hard I wont be there looking on To see the trail of lies As you fall    You can fill the world with pain Yeah if you want I've seen it now You can fill the world with hate Ive seen it done before And I know how it all works out  Make a promise if you can You know Youll only break it Make a promise if you dare Go on right ahead And lets see where it gets you    Come lets sit in the sun Feel the world spin around As the birds fly overhead Cant you hear the waves Cant you feel the rain As it falls upon your face    Ill take a truth A higher truth A higher truth I want the truth The higher truth A higher truth,  But Ill take the truth The higher truth The higher truth I want the truth The higher truth The higher truth   But Ill take the truth The higher truth The higher truth I want the truth The higher truth The higher truth   Ill take a truth A higher truth A higher truth I want the truth The higher truth A higher truth
Chris Cornell,Josephine,78.023,-7.057,0.379,8,   Josephine where can you be now? Again the sun is rising on my troubled heart Dont deny you know you and I Are the making of what fate Just cant pull apart    Like a raven in a cage Blood on my birth Just wont wash away Like a stitched together doll My feet to the flame As I follow the blame For someone elses pain For someone elses pain,  My sweet Josephine Wont you come and marry me? I got every kind of love that you would ever need Dying here on bended knees   My sweet Josephine Wont you come and marry me? I got every kind of love that you would ever need Dying here on bended knees   My sweet josephine Wont you come and marry me? I got every single kind of love that you would ever need Dying here on bended knees Dying here on bended knees Dying here on bended knees My Josephine
Chris Cornell,Let Your Eyes Wander,132.804,-10.678,0.294,8,   When you find love And it gets away If it comes back to you Then it will stay Well maybe its true As dumb as it sounds I aint gonna stop you From looking around    Love can be sharp Make no mistake Flatter a good heart Then watch it break It'll cut you to the bone Just to see you bleed out But that doesnt mean no Im somebody else,  So let your eyes wander Wild and free Sooner or later You will look back To me   So let your eyes wander The moment you think You see something better Better than me So let your eyes wander Wander away And Ill look no further You will come back one day   So let your eyes wander Wander away Your heart is young And longing to stray Let your eyes wander Wild and free Sooner or later They will look back They will look back They will look back To me
Chris Cornell,Misery Chain,87.539,-8.73,0.338,8,   Take the locks and shackles and melt all of it down. Shine a light upon every shadow every acre of ground. The hidden corners on in all around Anyway you feel this misery chain should be found.    And if I should fall from the top of the world To the depths below so far below where our believe could exist. Down further still will be the one who hides the key. And there's to try to put these misery chains on me.,  When we're gone and it's all said and done. What will we leave. Stories told will they speak of us when God only knows That those word will be.   When we're gone and it's all said and done. What will we leave. Stories told will they speak of us when God only knows That those word will be.
Chris Cornell,Murderer Of Blue Skies,80.061,-6.557,0.745,8,   You flew in on the wind Was a day that I won't forget Told me to let you in And that I would not regret it But you had a touch as cool as rain And only once the weather changed Murderer of blue skies    Now the truth will set you free But all you had was lying in you So you built a cage for me All the while pretending to be A living saint with a thorny crown And me condemned to be your clown I applaud you as you take a bow,  I can't wait To never be with you again And I can't wait To lead a life that you're not in And I won't break Though I may bend From time to time I can't wait to never be with you again   I can't wait To never be with you again And I can't wait To lead a life that you're not in And I won't break Though I may bend From time to time I can't wait to never be with you   I can't wait To never be with you again And I can't wait To lead a life that you're not in And I won't break Though I may bend   I can't wait To never be with you again And I can't wait To lead a life that you're not in And I won't break Though I may bend From time to time I can't wait to never be with you again I can't wait to never be with you again
Chris Cornell,Nearly Forgot My Broken Heart,119.531,-5.426,0.792,8,   Every time I stare into the sun Trying to find a reason to go on All I ever get is burned and blind Until the sky bleeds the pouring rain  When you came along the time was right Pulled me like an apple red and ripe Wasn't very long you took a bite And did me wrong and it serves me right     Every little key unlocks the door Every little secret has a lie Try to take a picture of the sun And it won't help you to see the light  Every little word upon your lips Makes a little cut where blood pours out Every little drop of blood a kiss That I won't miss not for anything ,  And I nearly forgot my broken heart It's taken me miles away From the memory of how it broke apart Here we go 'round again Again    And I nearly forgot my broken heart It's taken me miles away From the memory of how it broke apart Here we go 'round again    And I nearly forgot my broken heart It's taken me miles away From the memory of how it broke apart Here we go 'round again And I nearly forgot my broken heart It's taken me miles away From the memory of how it broke apart Here we go 'round again 
Chris Cornell,Only These Words,106.004,-6.3,0.634,8,In a castle Down a long road A little girl was born To a king and To a queen and Her mothers eyes welled up with tears of joy Staring at the tiny face Of a miracle she made She would say I love you She would say I love you  Summer came and went Unrolling trees all stripped to the bone Daddys little girl in his arms well They sit upon his throne Who is that thief hiding in the dark Just a little girl who stole his heart    With only these three words repeating A simple greeting but its all you keep Clever lips can be misleading A tongue can fly away And wont come back But its only these words we recognize  6 oclock A.M The alarm rings out Awoken from the dream No more castle down a long road No more kings and no more queens But shes a princess none the less And a handsome prince is what shell get,  He would say I love you He would say I love you He would say I love you    He will say I love you He will say I love you He will say I love you He will say I love you He will say I love you
Chris Cornell,Our Time In The Universe,118.01,-6.238,0.865,8,   Save the dying arms of midnight For the patience and or lapse of light Cuz its our time in the universe Well I dont mind If we're blessed or cursed And its our time in the universe Yours and mine    Save the dying arms of midnight Cuz its our time in the universe Well I dont mind If we're blessed or cursed Well its our time in the universe Yours and mine  See you dont fall No matter the end See it unfold no matter the need See it fold up whatever happens to be Its what it will be Its what it will be,  Breathing Beneath miles of earth and sky And in sunlight I will appear before your eyes So dont worry On what tomorrow holds for you Ill be waiting At the end of every road you choose
Chris Cornell,Through The Window,76.90100000000002,-6.937,0.479,8,   The clouds that gathered turned to rain The candles on your sill burned out The weather on your face Turned to match the mood outside  Reading through poems that you saved That make the gloomy hours make sense Or do they lose their power With the yellowing of age    I wish that I could find a seed And plant a tree that grows so high So that I could climb And harvest the ripe stars For you and I to drink And spit the ashes from our mouths And put the grey back in the clouds And send them packing with our bags Of old regrets and sorrows 'Cause they don't do a thing but drag us down So far down The past is like a braided rope Each moment tightly coiled inside,  I saw you suffering Through a foggy window in the rain When you thought no one was watching yeah Going through your memories Like so many prisons to escape And become someone else With another face And another name No more suffering   I saw you suffering Through the yellow window of a train With everybody watching yeah Too tired for imagining That you could ever love somebody else From somewhere far away From another time And another place With another life And another face And another name And another name No more suffering.
Chris Cornell,Worried Moon,90.993,-5.754,0.755,8,   Worried moon shining bright Can I sleep here tonight right beside you? I got a long way to go I'll be off in the morning And I hope but I don't know If she will have me back again Or only want me for a friend And leave a stain across my heart That never washes out     Nervous moon In the clouds There's a halo around your proud face And I'm glad that we're friends I might see you again Sooner or later I guess     There you are looking down I'll be here on the ground if you need me As I dream of a ghost Of a love that has died  Or maybe not but it haunts me now ,  Worried moon I'm afraid of what's to come Worried moon Yeah tell me what you know Worried moon You see further down the road Worried moon    Worried moon I'm afraid of what's to come Worried moon Yeah tell me what you know Worried moon You see further down the road Worried moon  Looking up you are gone I got into the city at midnight All these eyes looking on Make me blind or put me down And the noise just drowns me out   Worried moon I'm afraid of what's to come Worried moon Yeah tell me what you know Worried moon You see further down the road Worried moon
Chris Cornell,Wrong Side,125.975,-5.359,0.6609999999999999,8,When I was just a boy of ten My father met a miners death Trapped inside through twenty nights No one made it out alive So there I was alone but free The master of my destiny And trouble found me right away My close companions since that day    At 21 I fell in love To a girl of 16 years But a jealous father ran me down Left me in the road for dead So I decided there and then Id find the car Id take revenge But the fire caught the house and fields I havent slept a whole night since,  And Im on the side of the road again Im on the wrong side my friend Whichever way the wind is blowing No matter where the river bends I'm on the side of wrong again   And Im on the side of wrong again Im on the wrong side my friend Whichever way the wind is blowing No matter where the river bends Im on the side alone again Im on the side of wrong again   And Im on the side of the road again Im on the wrong side my friend Whichever way the wind is blowing No matter where the river bends Im on the side alone again Im on the side of wrong again Im on the side of wrong again
Del Shannon,Runaway,139.42700000000002,-5.811,0.629,6,As I walk along I wonder what went wrong With our love a love that was so strong And as I still walk on I think of the things we've done Together a-while our hearts were young,  I'm a-walkin' in the rain Tears are fallin' and I feel the pain Wishin' you were here by me To end this misery And I wonder I wah-wah-wah-wah-wonder Why Why why why why why she ran away And I wonder A-where she will stay-ay My little runaway Run run run run runaway    I'm a-walkin' in the rain Tears are fallin' and I feel the pain Wishin' you were here by me To end this misery I wonder I wah-wah-wah-wah-wonder Why Why why why why why she ran away And I wonder A-where she will stay-ay My little runaway
Donny Hathaway,Come Little Children,121.644,-7.626,0.7809999999999999,9,   Follow us little children I'll show thee the way through all the pain and sorrows .. Weak not poor children the life is this way Murdering beauty and passion Hush now little children It must be this way to weary of life and exception Rest now my children for soon we'll away Into the calm and the quite Uh Uh Uh..,  Come little children I'll take thee away Into a land of enchantment Came little children the time's come to play Here in my garden of shadows   Come little children I'll take thee away into a land of enchantment Came little children the time's come to play Here in my garden of shadows Uh Uh Uh...
Donny Hathaway,Flying Easy,151.985,-10.708,0.726,9,   We're flying high on a velvet sky With the wind on our wings Climbing easily on the breeze    The trip is smooth and we gently glide We ride the rainbow and we see to a tee How happy it can be to be free  We float and there is no thought of time Cause were singing of love And the pleasure is so devine,  We're flying easy and we do just what we please we drink the breezes as we drink wineand the nectar is sweet Now the feeling we have is fun  We're flying easy drifting on a summer breeze The trip is smooth and we gently glide We ride the rainbow and we see to a tee how happy we can be  We gather gold from the evening sun And it's heavenly hues And we don't have a thing to lose  We're flying easy and we do just what we choose
Donny Hathaway,I Love You More Than You'll Ever Know,86.23899999999998,-15.617,0.219,9,   When I wasn't making much money You know where my paycheck went You know I brought it home to ya baby And I never spent a red cent yeahhhh    I'm not trying to be just any kind of man... no I ain't I'm just trying to be somebody You can love trust and understand I know I know I know that I can be A part of you that no one else could see... yeah,  Is that anyway for a man to carry on Do you think I want my loved one gone Said I love you More than you'll ever know More than you'll ever know   Is that any way for a man to carry on Do you think I want my loved one gone Said I love you More than you'll ever know Heyyah More than you'll ever know
Donny Hathaway,Lord Help Me,127.897,-7.903,0.523,9,help me to inspire those that need inspiration Let my life be a sign of a coming generation (Lord help me) and I'm also asking you to help my brother (Lord help me) he needs help too Lord Help him to know that there's a purpose for living And Lord hey Lord I want you to help him this evening,"(Lord help me) (Lord help me) (Lord help me) once more again your humble servant is calling on your name (Lord help me) I've got something I want you to do for me Love love love, Aww baby you make me fall in love with you now I don't know just what I'm gonna do Aww honey I looked out into empty space and all I saw was your sweet face  Aww baby you make me fall in love with you now I don't know just what I'm gonna do Aww honey I looked out into empty space and all I saw was your sweet face  Aww baby you make me fall in love with you now I don't know just what I'm gonna do Aww honey I looked out into empty space and all I saw was your sweet face love love love love love"
Donny Hathaway,Love love love,93.777,-8.71,0.636,9,   Love love love why'd you take so long to come to me aww baby Love love yo love tell me where you hiding from me all the time Each time I try to find someone to take your place It was all in vain no their lips were never quite the same aww baby When I was kiss someone new deep inside I was missing you    Love love love you can't imagine what you did to me aww baby and love love your love everytime you smile it goes through me all the time Day by day I'm fallin more in love with you And thats no lie cross my heart and honey I hope to die Cuz I'm not tryin to mislead ya believe me girl I really need ya,  Aww baby you make me fall in love with you now I don't know just what I'm gonna do Aww honey I looked out into empty space and all I saw was your sweet face   Aww baby you make me fall in love with you now I don't know just what I'm gonna do Aww honey I looked out into empty space and all I saw was your sweet face   Aww baby you make me fall in love with you now I don't know just what I'm gonna do Aww honey I looked out into empty space and all I saw was your sweet face
Donny Hathaway,Magdalena,131.83,-9.523,0.778,9,   Magdalena sits in her chair speaking of the mass She talks in slicing splinters she laughs like breaking glass She says that she would have me spirit her away Stealing all my images 'til there's nothing left to say     Magdalena lying there could make a dancer stumble Make a preacher bite his tongue and leave him with a mumble And if you think I'm crazy babe or that I'm funning you Just pay your dues and lose your blues When Maggie is kissing you ,  Oh Magdalena Nothing like the saint you are Your love is like a razor My heart is just a-scar Oh Magdalena Nothing like the saint you are    Oh Magdalena Nothing like the saint you are Your love is like a razor My heart is just a-scar Oh Magdalena Nothing like the saint you are    Oh Magdalena Nothing like the saint you are Your love is like a razor My heart is just a-scar Oh Magdalena Nothing like the saint you are
Donny Hathaway,Someday We'll All Be Free,77.02199999999998,-11.497,0.413,9,   Hang on to the world as it spins around Just don't let the spin get you down Things are moving fast Hold on tight and you will last Keep your self respect your manly pride Get yourself in gear Keep your stride Never mind your fears Brighter days will soon be here Take it from me someday we'll all be free yeah Keep on walking tall Hold your head up high Lay your dreams right up to the sky Sing your greatest song And you'll keep going going on,  Take it from me someday we'll all be free Hey just wait and see some day we'll all be free yeah Take it from me someday we'll all be free It won't be long take it from me someday we'll all be free Take it from me take it from me take it from me...
Elliott Smith,A Distorted Reality is Now a Necessity to be Free,83.512,-9.621,0.441,10,"   I'm floating in a black balloon O.D. on Easter afternoon My mama told me ""Baby stay clean There's no in-between"" And all you ladies and you gentlemen Between is all you've ever seen or been Fit poorly and arrange the sight Doll it up in virgin white You disappoint me you people raking in on the world The devil's script sells you the heart of a blackbird    Sun's rising on a chopping glare Rain dropping acid bought up in the air A distorted reality is now a necessity to be free It's so disappointing First I put it all down to luck God knows why my country don't give a fuck Fuck",  Shine on me baby because it's raining in my heart
Elliott Smith,A Passing Feeling,73.715,-8.465,0.52,10,Everything is gone but the echo of the burst of the shell And I'm stuck here waiting For a passing feeling  In the city I built up and blew to hell I'm stuck here waiting For a passing feeling ,  Still i send all the time My request for relief Down the dead power line Though I'm beyond belief  In the help I require Just to exist at all Took a long time to stand Took an hour to fall    Still i send all the time My request for relief Down the dead power line Though I'm beyond belief  In the help I require Just to exist at all Took a long time to stand Took an hour to fall
Elliott Smith,Coast To Coast,84.40899999999998,-9.803,0.677,10,   Last stop for a resolution End of the line into confusion So go go see what's there for you Nothing new Nothing new for you to use  I've got no new act to amuse you I've got no desire to use you no But anything that I could do Would never be good enough for you  If you can't help it then just leave it alone Leave it alone (Leave it alone) Yeah just forget it It's really easy I believe I'll forget it too  Still you're keeping me around 'Til I finally drag us both down (Gonna drag us both down) Pulling feathers out your hat (Throwing feathers out your hat) Yes I believe it's come to that (I believe that's where it's at) You belong tagging along And I belong in the zoo,  If you can't help it then just leave it alone Leave me alone (Leave me alone) Yeah just forget it It's really easy I'll just forget it too Coast to coast (Coast to coast) Coast to coast (Coast to coast) I'll do what I can so you can be what you do Coast to coast (Coast to coast) Coast to coast (Coast to coast) I'll do everything I can so you can be what you do Coast to coast Coast to coast
Elliott Smith,Don't Go Down,176.25099999999995,-8.206,0.583,10,   I met a girl snowball in hell She was hard and as cracked as the Liberty Bell I got her to come on and move in with me And I said I'd find a better place we could spend eternity     Her mama called me a thief And her dad called himself commander-in-chief I fought him off with my love But I knew the sense of worthlessness she'd have to rise above     She had a dream woke up in shock She had seen her own body outlined in chalk I split the scene the globe'd been spun And her ghost leaned down to kiss me With a message from the sun,  Don't go down Don't go down Stay with me Baby stay    Don't go down Don't go down Stay with me Baby stay Don't go down Don't go down Stay with me Baby stay    Don't go down Don't go down Stay with me Baby stay
Elliott Smith,King's Crossing,122.553,-10.027,0.343,10,   The king's crossing was the main attraction Dominos are falling in a chain reaction The scraping subject ruled by fear told me Whiskey works better than beer  The judge is on vinyl decisions are final And nobody gets a reprieve And every wave is tidal If you hang around You're going to get wet    It's Christmas time And the needles on the tree A skinny Santa is bringing something to me His voice is overwhelming But his speech is slurred And I only understand every other word Open your parachute and grab your gun Falling down like an omen a setting sun Read the part and we turn out fine It's a hell of a role if you can keep it alive But I don't care if I fuck up I'm going on a date With a rich white lady Ain't life great? Give me one good reason not to do it (Because we love you) So do it,  I can't prepare for death any more than I already have All you can do now is watch the shells The game looks easy that's why it sells Frustrated fireworks inside your head Are going to stand and deliver talk instead The method acting that pays my bills Keeps the fat man feeding in Beverly Hills I got a heavy metal mouth that hurls obscenity And I get my check from the trash treasury Because I took my own insides out
Elliott Smith,Let's Get Lost,92.112,-15.223,0.337,10,I've been outside Invited in But I couldn't abide Went missing again ,  I had true love I made it die I pushed her away She said please stay Burning every bridge that I cross To find some beautiful place to get lost To find some beautiful place to get lost
Elliott Smith,Little One,118.995,-14.704,0.135,10,   The moonlight tonight Seems to belong to me Cause I Even those who cant sleep (Never go to sleep) They need some company   One hit Wouldn't hurt a bit at all Slow down (Stay down) See whats there to find (See whats there today)  If it's (If its) Good shit you won't know (gonna be) And I won't know (ok) The fact that I'm dying (all done)  If I seem to be reckless with myself It's the fault of no one All things have a place Under the moon As well as the sun,  I can hear you asleep Changing your shape Dissolved in some dream As a new one appears To take you along Where you've never been
Elliott Smith,Memory Lane,106.043,-12.264,0.35600000000000004,10,    The mayor's name is fear His force patrols the pier From a mountain of cliché That advances everyday   The doctor spoke a cloud He rained out loud Youll keep your doors and windows shut And swear you'll never show a soul again but     Uncomfortable apart It's all written on my chart And I take what's given to me Most cooperatively   I do what people say And lie in bed all day Absolutely horrified I hope you're satisfied ,  Isolation Pulled you passed A tunnel to a bright World where you can Make a place to stay  But everybody's scared of this place They're staying away Your little house on memory lane    Isolation Pushes you til Every muscle aches Down the only road It ever takes  But everybody's scared of this place They're staying away Your little house on memory lane    Isolation Pushes past self-hatred Guilt and shame To a place where suffering is Just a game  But everybody's scared of this place They're staying away Your little house on memory lane Your little house on memory lane 
Elliott Smith,Pretty (Ugly Before),75.788,-7.707999999999998,0.509,10,   Sunshine Been keeping me up for days There is no nighttime It's only a passing phase And I feel pretty Pretty enough for you I felt so ugly before I didn't know what to do,  Sunshine Been keeping me up for days There is no nighttime Only a passing phase And I'll feel pretty Another hour or two 
Elliott Smith,Shooting Star,105.953,-7.562,0.7979999999999999,10,   You'll make the scene Like you always do Going upstream Down the avenue To fuck some trophy boy That you'll win tonight at the bar     When it was me I was momentarily proud Drunk on dreams Now I'm glad I didn't say out loud You said you'd be for real But I don't believe that you are     I'm going to sleep now Going back to find square one Square two be where I can deal with the shit you just done It won't be soon Say the least it's gonna be hard ,"So bad, so dar, You’ll make him sad Shooting star"
Elliott Smith,Strung Out Again,122.524,-10.028,0.362,10,   You get what you see I saw a rich fuck giving charity Saw an evil emperor Wearing my clothes  They're far from the best But they might suit you better than the rest Just looking in the mirror Will make you a brave man     Was a parliament of owls Fly over a city of canals Floating on the body Floating in the Dalles  You get what you see But some things they just change invisibly I don't know where I'm going And I don't even want to know  ,  I know my place Hate my face I know how I begin And how I'll end Strung out again    I know my place Hate my face I know how I begin And how I'll end Strung out again 
Elliott Smith,The Last Hour,117.878,-17.814,0.171,10,   Here's the army that you mowed to the ground And the bodies you left lying around Talking it out The last hour I'm through trying now It's a big relief I'll be staying down Where no one else gonna give me grief     Your opinion was the law of the land The single thing that I could always understand I lived it out from hour to hour The only thing that never really changed You ran me all around And dragged me down At the end of the day     I've been thinking of the things that I missed Situations that I passed up for this One-way love I took for hours I'm through trying now It's a big relief I'll be staying down I wasn't good at being a thief ,  Mess me around Just make it over    Don't keep me around Just make it over     More like a clown Make it over
Elliott Smith,Twilight,140.998,-13.039,0.377,10,   Haven't laughed this hard in a long time I better stop now before I start crying Go off to sleep in the sunshine I don't want to see the day when it's dying  She's a sight to see (sight to see) she's good to me (good to me) But I'm already somebody's baby She's a pretty thing (pretty thing) and she knows everything (everything) But I'm already somebody's baby,  You don't deserve to be lonely But those drugs you got won't make you feel better Pretty soon you'll find it's the only Little part of your life you're keeping together  I'm nice to you (nice to you) I could make it through (make it through) But you're already somebody's baby I could make you smile (make you smile) if you stayed a while (stayed a while) But how long will you stay with me baby?  Because your candle burns too bright Well I almost forgot it was twilight Even if I think that you are right Well I'm tired of being down I got no fight
