Artist,Song Title,verse_emotion,chorus_emotion,Genre,Tempo,Loudness,Energy,Danceability,Mode,Valence
Elliott Smith,Let's Get Lost,1,0,10,92.112,-15.223,0.337,0.541,0,0.575
Elliott Smith,Little One,0,2,10,118.995,-14.704,0.135,0.466,1,0.271
Elliott Smith,Memory Lane,4,0,10,106.043,-12.264,0.356,0.613,0,0.484
Elliott Smith,Pretty (Ugly Before),1,1,10,75.788,-7.708,0.509,0.487,1,0.19
Elliott Smith,Shooting Star,1,0,10,105.953,-7.562,0.798,0.517,1,0.505
Elliott Smith,Strung Out Again,1,4,10,122.524,-10.028,0.362,0.453,0,0.212
Elliott Smith,The Last Hour,0,4,10,117.878,-17.814,0.171,0.594,1,0.279
Elliott Smith,Twilight,0,1,10,140.998,-13.039,0.377,0.428,1,0.487
Ephraim Lewis,Drowning in Your Eyes,1,0,3,110.446,-12.625,0.419,0.689,0,0.529
Ephraim Lewis,Mortal Seed,1,0,3,86.095,-11.008,0.423,0.318,1,0.298
Ephraim Lewis,Sad Song,0,0,3,120.577,-13.414,0.457,0.6,1,0.558
Germs,American Leather,0,3,11,130.154,-7.286,0.949,0.289,1,0.69
Germs,Caught In My Eye,2,0,11,148.016,-15.743,0.799,0.364,0,0.422
Germs,Communist Eyes,3,0,11,126.523,-8.816,0.895,0.361,1,0.855
Germs,Dragon Lady,0,1,11,114.152,-8.683,0.776,0.399,1,0.732
Germs,Land of Treason,0,0,11,125.561,-7.45,0.99,0.45,0,0.461
Germs,Let's Pretend,0,4,11,108.918,-7.776,0.986,0.43,0,0.337
Germs,Lexicon Devil,0,1,11,106.272,-7.469,0.877,0.504,0,0.821
Germs,Manimal,0,1,11,105.879,-8.354,0.956,0.318,0,0.319
Germs,Media Blitz,0,0,11,125.943,-11.192,0.876,0.44,1,0.721
Germs,Our Way,0,4,11,116.348,-6.883,0.952,0.52,1,0.692
Germs,Richie Dagger's Crime,3,1,11,103.056,-8.297,0.911,0.379,1,0.571
Germs,Shut Down,4,0,11,121.342,-8.007,0.824,0.319,0,0.665
Germs,Strange Notes,0,0,11,133.02,-8.196,0.937,0.245,1,0.679
Germs,The Other Newest One,0,1,11,136.688,-8.228,0.9,0.572,1,0.737
Germs,The Slave,3,0,11,122.589,-8.769,0.949,0.361,0,0.574
Germs,We Must Bleed,4,0,11,108.991,-7.587,0.968,0.295,0,0.256
Germs,What We Do Is Secret,1,1,11,112.28,-6.508,0.816,0.518,1,0.843
Gin Blossoms,"Hey, Jealousy",0,1,10,153.005,-7.42,0.785,0.464,0,0.528
Herman Brood,My Way,0,0,5,152.011,-15.722,0.282,0.425,1,0.141
Herman Brood,When I Get Home,0,1,1,116.697,-15.936,0.14,0.607,1,0.57
hide,ever free,0,2,12,129.129,-12.474,0.357,0.609,1,0.549
hide,Hurry go round,0,0,12,84.024,-11.773,0.317,0.557,1,0.798
hide,Rocket Dive,1,1,12,121.029,-13.419,0.374,0.615,1,0.518
Jonghyun,#Hashtag,4,3,13,105.058,-8.784,0.464,0.86,0,0.652
Jonghyun,Before Our Spring,1,2,13,103.976,-9.518,0.246,0.634,1,0.404
Jonghyun,Grease,0,0,13,139.79,-3.892,0.779,0.585,1,0.708
Jonghyun,Just for a day,0,0,13,99.872,-3.846,0.802,0.711,1,0.367
Jonghyun,Only One You Need,2,0,13,113.937,-3.967,0.799,0.629,0,0.512
Jonghyun,Rewind,4,1,13,118.003,-5.45,0.749,0.922,0,0.535
Jonghyun,Sentimental,0,0,13,82.951,-5.25,0.635,0.466,0,0.396
Jonghyun,Shinin',1,1,13,115.085,-2.873,0.853,0.741,1,0.731
Jonghyun,Sightseeing,3,3,13,85.023,-2.833,0.902,0.676,1,0.776
Jonghyun,Take The Dive,1,1,13,105.108,-4.114,0.708,0.52,0,0.527
Joy Division,A Means to an End,1,4,10,130.549,-7.946,0.786,0.655,0,0.752
Joy Division,Atrocity Exhibition,0,1,10,126.435,-7.348,0.767,0.565,1,0.787
Joy Division,Colony,0,1,10,137.612,-7.292,0.88,0.6,1,0.808
Joy Division,Decades,2,0,10,107.089,-9.206,0.538,0.572,1,0.436
Joy Division,Heart and Soul,0,1,10,149.774,-9.817,0.611,0.64,1,0.68
Joy Division,Isolation,1,0,10,151.522,-8.12,0.783,0.544,1,0.697
Joy Division,Love Will Tear Us Apart,0,1,10,146.83,-8.662,0.902,0.525,1,0.907
Joy Division,Passover,4,0,10,127.977,-11.936,0.577,0.773,1,0.941
Joy Division,The Eternal,0,0,10,109.574,-14.043,0.474,0.507,1,0.327
Joy Division,Twenty Four Hours,0,0,10,131.73,-8.955,0.879,0.363,1,0.647
Keith Emerson,"The Endless Enigma Suite, Pt. 1",0,2,3,87.602,-11.705,0.374,0.17,1,0.0742
Keith Emerson,"The Endless Enigma Suite, Pt. 2",0,1,3,77.233,-10.944,0.298,0.262,1,0.234
Kim Kwang-seok,Get Up(with Common Ground),0,1,1,95.006,-6.378,0.516,0.678,0,0.706
Kim Kwang-seok,Where the Wind Rises(with Hareem),1,2,1,107.939,-5.548,0.425,0.51,1,0.344
Kingston Wall,Alt-Land-Is,0,1,3,141.718,-6.346,0.873,0.274,0,0.213
Kingston Wall,Another Piece of Cake,0,4,3,95.799,-7.154,0.759,0.432,0,0.471
Kingston Wall,For All Mankind,0,1,3,135.577,-9.081,0.652,0.368,1,0.133
Kingston Wall,"I'm the King, I'm the Sun",1,1,3,123.395,-6.884,0.893,0.489,1,0.33
Kingston Wall,Party Goes On,0,3,3,143.419,-5.794,0.948,0.332,0,0.264
Kingston Wall,Take You to Sweet Harmony,1,1,3,141.63,-8.204,0.604,0.605,1,0.482
Kingston Wall,The Real Thing,1,0,3,122.994,-10.419,0.397,0.24,1,0.0981
Kingston Wall,Welcome to the Mirrorland,1,1,3,111.384,-13.504,0.24,0.238,1,0.031
Link 80,Better Than Shit,0,4,14,113.987,-9.355,0.828,0.543,0,0.919
Link 80,For What It's Worth,2,4,14,106.502,-9.748,0.477,0.423,0,0.302
Link 80,No Such Thing,4,0,14,108.361,-8.832,0.856,0.323,1,0.782
Link 80,Packing Up,0,0,14,112.98,-8.867,0.943,0.446,1,0.488
Link 80,The Truth of It,0,4,14,107.876,-9.482,0.865,0.34,0,0.587
Linkin Park,Halfway Right,4,2,8,134.028,-7.155,0.626,0.655,0,0.498
Linkin Park,Heavy (feat. Kiiara),2,0,8,149.982,-6.098,0.671,0.59,1,0.438
Material Issue,A Very Good Thing,0,1,1,169.549,-5.887,0.891,0.221,1,0.552
Material Issue,Kim the Waitress,1,1,1,130.579,-7.65,0.721,0.223,1,0.337
Material Issue,She's Goin' Thru My Head,1,1,1,93.906,-5.736,0.967,0.313,1,0.367
Michael Hutchence,A Straight Line,0,0,10,122.9,-6.001,0.93,0.714,1,0.722
Michael Hutchence,All I'm Saying,1,0,10,163.954,-8.358,0.518,0.442,0,0.407
Michael Hutchence,Baby It's Alright,2,1,10,95.823,-5.424,0.926,0.718,0,0.685
Michael Hutchence,Breathe,1,0,10,74.926,-8.443,0.61,0.52,0,0.409
Michael Hutchence,Don't Save Me from Myself,1,1,10,111.998,-6.538,0.896,0.69,1,0.398
Michael Hutchence,Fear,0,2,10,114.024,-7.458,0.848,0.648,0,0.55
Michael Hutchence,Flesh and Blood,0,1,10,195.894,-9.292,0.5,0.418,0,0.354
Michael Hutchence,Get on the Inside,0,1,10,93.935,-5.273,0.906,0.717,1,0.805
Michael Hutchence,Let Me Show You,0,0,10,97.99,-7.097,0.851,0.531,0,0.477
Michael Hutchence,Possibilities,1,4,10,127.088,-7.211,0.684,0.531,1,0.378
Michael Hutchence,Put the Pieces Back Together,0,3,10,94.471,-6.253,0.855,0.69,1,0.436
Michael Hutchence,She Flirts for England,1,0,10,177.96,-6.851,0.852,0.519,1,0.623
Michael Hutchence,Slide Away,0,1,10,109.879,-9.217,0.608,0.666,1,0.154
Nick Drake,From the Morning,1,1,3,109.002,-19.092,0.161,0.657,1,0.415
Nick Drake,Parasite,1,3,3,131.391,-16.472,0.204,0.61,1,0.255
Nick Drake,Pink Moon,1,1,3,82.321,-15.435,0.26,0.456,1,0.491
Nick Drake,Place to Be,1,1,3,83.343,-16.29,0.223,0.52,1,0.441
Nick Drake,Road,1,2,3,151.017,-16.119,0.264,0.585,0,0.778
Nick Drake,Things Behind the Sun,1,0,3,102.868,-17.421,0.175,0.681,1,0.259
Nick Drake,Which Will,1,1,3,95.367,-17.283,0.185,0.637,0,0.43
Nicky Thomas,Have a Little Faith,1,1,15,113.088,-9.7,0.503,0.855,1,0.925
Nikolas Asimos,Bagasas,0,1,16,143.241,-12.338,0.306,0.535,1,0.188
Nikolas Asimos,Lina,1,0,16,123.181,-10.991,0.298,0.363,0,0.236
Nirvana,All Apologies,4,1,10,113.169,-12.109,0.621,0.447,1,0.364
Nirvana,Dumb,0,1,10,113.623,-13.585,0.394,0.695,1,0.845
Nirvana,Heart-Shaped Box,0,1,10,101.539,-10.233,0.677,0.494,1,0.316
Nirvana,Milk It,3,0,10,135.999,-12.354,0.531,0.468,0,0.532
Nirvana,Pennyroyal Tea,0,3,10,113.202,-7.985,0.477,0.504,0,0.0488
Nirvana,Radio Friendly Unit Shifter,4,4,10,155.644,-10.367,0.937,0.335,1,0.703
Nirvana,Rape Me,3,2,10,111.879,-10.613,0.743,0.416,1,0.259
Nirvana,Serve the Servants,0,0,10,119.698,-8.673,0.906,0.438,1,0.674
Nirvana,Tourette's,1,1,10,173.396,-10.963,0.913,0.27,0,0.337
Nirvana,Very Ape,0,1,10,151.994,-9.389,0.879,0.27,1,0.968
Owsley,Be With You,0,1,1,104.947,-3.738,0.912,0.523,1,0.299
Owsley,Dirty Bird,1,3,1,186.408,-4.517,0.906,0.275,1,0.283
Owsley,Down,0,0,1,184.078,-4.792,0.874,0.259,0,0.23
Owsley,Dude,1,4,1,168.019,-3.95,0.872,0.309,1,0.223
Owsley,Matriarch,1,0,1,105.78,-7.106,0.553,0.521,1,0.133
Owsley,Rise,2,2,1,98.007,-4.479,0.881,0.447,1,0.335
Owsley,She's the One,0,0,1,84.198,-4.711,0.815,0.358,1,0.329
Owsley,The Hard Way,0,0,1,105.854,-5.962,0.756,0.511,0,0.274
Owsley,Undone,1,1,1,182.246,-4.025,0.929,0.291,1,0.31
Phil Ochs,Chords Of Fame,1,1,17,162.878,-13.873,0.498,0.503,1,0.754
Phil Ochs,I Ain't Marching Anymore,2,0,17,131.104,-6.517,0.492,0.498,1,0.662
Phil Ochs,Tape From California,4,2,17,134.208,-10.705,0.47,0.558,1,0.624
Phil Ochs,The Pleasures of the Harbor,1,1,17,199.366,-11.97,0.54,0.453,1,0.948
Reagan Youth,(Are You) Happy,1,4,18,165.066,-16.45,0.586,0.278,0,0.413
Reagan Youth,Anytown,0,1,18,99.969,-13.951,0.733,0.391,0,0.413
Reagan Youth,Degenerated,4,3,18,202.696,-15.748,0.583,0.325,1,0.28
Reagan Youth,Go Nowhere,0,4,18,153.588,-15.215,0.545,0.433,1,0.709
Reagan Youth,In Dog We Trust,4,1,18,190.118,-17.018,0.529,0.25,0,0.59
Reagan Youth,New Aryans,1,0,18,101.34,-15.774,0.695,0.386,0,0.615
Reagan Youth,No Class,4,4,18,206.195,-14.174,0.656,0.341,1,0.404
Reagan Youth,Reagan Youth,1,1,18,189.998,-3.683,0.912,0.328,1,0.549
Reagan Youth,USA,1,4,18,173.206,-5.843,0.945,0.377,0,0.324
Sparklehorse,Angel's Harp,1,1,19,136.336,-5.252,0.69,0.502,0,0.423
Sparklehorse,Daddy's Gone,1,1,19,136.646,-6.832,0.728,0.513,1,0.383
Sparklehorse,Dark Night Of The Soul,2,2,19,146.033,-5.678,0.912,0.54,1,0.839
Sparklehorse,Everytime I'm With You,4,1,19,108.03,-8.019,0.522,0.581,0,0.393
Sparklehorse,Grim Augury,1,2,19,77.967,-7.308,0.616,0.347,0,0.533
Sparklehorse,Insane Lullaby,1,1,19,85.021,-4.786,0.671,0.363,1,0.248
Sparklehorse,Jaykub,1,0,19,118.99,-7.077,0.659,0.551,1,0.375
Sparklehorse,Just War,2,2,19,98.225,-6.805,0.521,0.52,1,0.116
Sparklehorse,Little Girl,4,1,19,146.033,-5.678,0.912,0.54,1,0.839
Sparklehorse,Pain,0,0,19,164.067,-4.532,0.978,0.304,1,0.0919
Sparklehorse,Revenge,4,0,19,142.178,-9.84,0.524,0.528,0,0.433
Sparklehorse,Star Eyes (I Can't Catch It),1,0,19,125.963,-4.971,0.546,0.47,1,0.197
Sparklehorse,The Man Who Played God,1,1,19,70.493,-5.563,0.634,0.561,1,0.395
Stone Temple Pilots,Black Heart,1,0,8,125.013,-4.388,0.81,0.483,1,0.735
Stone Temple Pilots,Cry cry,0,0,8,122.956,-3.65,0.699,0.559,1,0.82
Stone Temple Pilots,Out of time,0,0,8,159.086,-3.331,0.951,0.328,1,0.708
Stone Temple Pilots,Same On The Inside,0,4,8,116.634,-3.705,0.923,0.451,1,0.462
Stone Temple Pilots,Tomorrow,0,0,8,146.632,-4.337,0.871,0.313,1,0.49
Susan Fassbender,Merry-go-round,1,0,1,130.627,-10.002,0.485,0.569,1,0.484
The Raphaels,Old Country Country,0,1,20,158.567,-5.024,0.757,0.412,1,0.569
The Raphaels,Private Battlefield,2,0,20,95.245,-7.175,0.387,0.542,1,0.315
The Raphaels,Shattered Cross,0,0,20,124.615,-8.762,0.625,0.627,1,0.588
The Raphaels,Simple Man,0,1,20,131.42,-6.244,0.801,0.619,0,0.59
The Raphaels,Supernatural,2,1,20,168.932,-7.68,0.697,0.426,1,0.462
The Raphaels,Too Many Ghosts,0,1,20,143.896,-5.944,0.784,0.416,0,0.203
The Raphaels,Toujour Aimez,0,1,20,116.558,-10.148,0.358,0.713,1,0.601
The Whitlams,End of Your World,0,4,10,174.665,-6.859,0.673,0.301,0,0.374
The Whitlams,Following My Own Tracks,0,4,10,174.649,-5.548,0.939,0.43,1,0.562
The Whitlams,Hollow Log,1,1,10,113.518,-8.869,0.845,0.603,1,0.927
The Whitlams,Pass the Flagon,1,0,10,123.657,-6.917,0.727,0.642,1,0.86
The Whitlams,Shining,0,0,10,183.263,-6.133,0.868,0.236,1,0.558
The Whitlams,You don't even know my name,1,1,10,172.524,-13.14,0.332,0.432,1,0.269
Viro the Virus,Exscape,0,0,21,175.99,-13.961,0.54,0.73,1,0.519
Viro the Virus,Heat,4,4,21,90.014,-5.181,0.708,0.702,1,0.567
Yavuz Cetin,Benimle Ucmak Ister misin,0,2,3,77.099,-7.842,0.72,0.277,1,0.446
Yavuz Cetin,Hersey Biter,2,1,3,90.399,-7.327,0.695,0.543,0,0.556
Yavuz Cetin,Kole,0,1,3,139.212,-9.847,0.658,0.296,0,0.308
Yavuz Cetin,Oyuncak Dunya,0,3,3,143.529,-11.223,0.3,0.394,1,0.073
Yavuz Cetin,Sadece Senin Olmak,1,1,3,83.637,-8.618,0.649,0.478,1,0.6
Yavuz Cetin,Yasamak Istemem,4,0,3,82.731,-8.222,0.596,0.405,0,0.444
