id,love,joy,sadness,anger,fear,surprise
Angel's Harp,NO,YES,NO,YES,NO,NO
Daddy's Gone,NO,NO,YES,NO,NO,NO
Dark Night Of The Soul,NO,NO,NO,NO,NO,NO
Everytime I'm With You,NO,YES,NO,NO,NO,NO
Grim Augury,NO,NO,NO,NO,NO,NO
Insane Lullaby,NO,NO,NO,YES,NO,NO
Jaykub,NO,NO,YES,YES,NO,NO
Just War,NO,NO,NO,NO,NO,NO
Little Girl,NO,NO,NO,NO,YES,NO
Pain,NO,NO,NO,NO,NO,NO
Revenge,NO,NO,NO,YES,NO,NO
Star Eyes (I Can't Catch It),NO,NO,YES,YES,NO,NO
The Man Who Played God,NO,NO,YES,YES,YES,NO
Black Heart,NO,NO,NO,NO,NO,YES
Cry cry,YES,YES,NO,NO,NO,NO
Out of time,NO,NO,YES,NO,NO,NO
Same On The Inside,NO,NO,YES,YES,NO,NO
Tomorrow,NO,NO,NO,NO,NO,NO
Merry-go-round,NO,NO,NO,NO,NO,NO
Learn to Row,NO,NO,NO,NO,NO,NO
Old Country Country,NO,NO,NO,YES,NO,YES
Private Battlefield,NO,NO,NO,NO,NO,NO
Shattered Cross,YES,YES,NO,NO,NO,NO
Simple Man,NO,YES,NO,YES,NO,NO
Supernatural,NO,YES,NO,NO,NO,NO
Too Many Ghosts,NO,NO,NO,NO,NO,NO
Toujour Aimez,NO,NO,NO,NO,NO,NO
End of Your World,YES,NO,NO,NO,NO,NO
Following My Own Tracks,NO,NO,NO,NO,NO,NO
Hollow Log,NO,NO,YES,NO,NO,NO
Pass the Flagon,NO,NO,YES,NO,NO,NO
Shining,NO,NO,NO,NO,NO,NO
You don't even know my name,NO,NO,YES,NO,NO,NO
I Love You,NO,NO,YES,YES,NO,NO
Exscape,NO,YES,NO,NO,NO,NO
Heat,NO,NO,YES,YES,NO,NO
Benimle Ucmak Ister misin,NO,NO,NO,NO,YES,NO
Hersey Biter,NO,NO,NO,NO,NO,NO
Köle,NO,NO,YES,YES,YES,NO
Oyuncak Dünya,NO,NO,NO,NO,NO,NO
Sadece Senin Olmak,YES,YES,NO,NO,NO,NO
Yasamak Istemem,NO,NO,NO,NO,NO,NO
