Artist,Song Title,verse,chorus,intro,outro,bridge
Chris Cornell,Misery Chain,[verse] Take the locks and shackles and melt all of it down. Shine a light upon every shadow every acre of ground. The hidden corners on in all around Anyway you feel this misery chain should be found.,[chorus] When we're gone and it's all said and done. What will we leave. Stories told will they speak of us when God only knows That those word will be. [verse] And if I should fall from the top of the world To the depths below so far below where our believe could exist. Down further still will be the one who hides the key. And there's to try to put these misery chains on me. [chorus] When we're gone and it's all said and done. What will we leave. Stories told will they speak of us when God only knows That those word will be. [outro] Won't you take one link from this misery chain. Keep it to remind you of a long forgotten time or a place. So that you recognize it 'till it's understood. And that every trace of this misery chain is gone for good. 'til every trace of this misery chain is gone for good.,[intro] Won't you take one link from this misery chain. Keep it to remind you of a long forgotten time or a place. So that you recognize its shape when it's near. Any time or place this misery chain should appear.,,
Chris Cornell,Murder Of Blue Skies,[verse] You flew in on the wind Was a day that I won't forget Told me to let you in And that I would not regret it But you had a touch as cool as rain And only once the weather changed Murderer of blue skies,[chorus] I can't wait To never be with you again And I can't wait To lead a life that you're not in And I won't break Though I may bend From time to time I can't wait to never be with you again [verse] Now the truth will set you free But all you had was lying in you So you built a cage for me All the while pretending to be A living saint with a thorny crown And me condemned to be your clown I applaud you as you take a bow [chorus] I can't wait To never be with you again And I can't wait To lead a life that you're not in And I won't break Though I may bend From time to time I can't wait to never be with you [bridge] Always thought that I pride myself on patience But it's wearing thin Never thought that falling for you only meant Falling down [chorus] I can't wait To never be with you again And I can't wait To lead a life that you're not in And I won't break Though I may bend [chorus] I can't wait To never be with you again And I can't wait To lead a life that you're not in And I won't break Though I may bend From time to time I can't wait to never be with you again I can't wait to never be with you again,,,
Chris Cornell,Nearly Forgot My Broken Heart,[verse] Every time I stare into the sun Trying to find a reason to go on All I ever get is burned and blind Until the sky bleeds the pouring rain  When you came along the time was right Pulled me like an apple red and ripe Wasn't very long you took a bite And did me wrong and it serves me right ,[chorus] And I nearly forgot my broken heart It's taken me miles away From the memory of how it broke apart Here we go 'round again Again  [verse] Every little key unlocks the door Every little secret has a lie Try to take a picture of the sun And it won't help you to see the light  Every little word upon your lips Makes a little cut where blood pours out Every little drop of blood a kiss That I won't miss not for anything  [chorus] And I nearly forgot my broken heart It's taken me miles away From the memory of how it broke apart Here we go 'round again  [bridge] Every single feeling tells me this is leading To a heart in broken little pieces And you know I need this Like a hole in the head  [Solo]  [Bridge] Every single feeling tells me this is leading To a heart in broken little pieces And you know I need this Like a hole...  [chorus] And I nearly forgot my broken heart It's taken me miles away From the memory of how it broke apart Here we go 'round again And I nearly forgot my broken heart It's taken me miles away From the memory of how it broke apart Here we go 'round again  [outro] Here we go 'round again Here we go 'round again Here we go 'round again,,,
Chris Cornell,Only These Words,[verse] In a castle Down a long road A little girl was born To a king and To a queen and Her mother’s eyes welled up with tears of joy Staring at the tiny face Of a miracle she made She would say I love you She would say I love you  Summer came and went Unrolling trees all stripped to the bone Daddy’s little girl in his arms well They sit upon his throne Who is that thief hiding in the dark Just a little girl who stole his heart,[chorus] He would say I love you He would say I love you He would say I love you  [verse] With only these three words repeating A simple greeting but it’s all you keep Clever lips can be misleading A tongue can fly away And won’t come back But it’s only these words we recognize  6 o’clock A.M The alarm rings out Awoken from the dream No more castle down a long road No more kings and no more queens But she’s a princess none the less And a handsome prince is what she’ll get [chorus] He will say I love you He will say I love you He will say I love you He will say I love you He will say I love you,,,
Chris Cornell,Our Time In The Universe,[verse] Save the dying arms of midnight For the patience and or lapse of light Cuz it’s our time in the universe Well I don’t mind If we're blessed or cursed And it’s our time in the universe Yours and mine,[chorus] Breathing Beneath miles of earth and sky And in sunlight I will appear before your eyes So don’t worry On what tomorrow holds for you I’ll be waiting At the end of every road you choose [verse] Save the dying arms of midnight Cuz it’s our time in the universe Well I don’t mind If we're blessed or cursed Well it’s our time in the universe Yours and mine  See you don’t fall No matter the end See it unfold no matter the need See it fold up whatever happens to be It’s what it will be It’s what it will be [outro] Cuz it’s our time in the universe Well I don’t mind If we're blessed or cursed Yeah it’s our time in the universe Yours and mine Yours and mine,[intro] Waiting Upon the dunes of earth and sand In the morning The flame appears upon your hand Swallow The fears of empty promise hearts And remember We only just got to the stars,,
Chris Cornell,Through The Window,[verse] The clouds that gathered turned to rain The candles on your sill burned out The weather on your face Turned to match the mood outside  Reading through poems that you saved That make the gloomy hours make sense Or do they lose their power With the yellowing of age,[chorus] I saw you suffering Through a foggy window in the rain When you thought no one was watching yeah Going through your memories Like so many prisons to escape And become someone else With another face And another name No more suffering [bridge] You sold the best of yourself out On a chain of grey and white lies One syllable at a time You should have made them pay A higher price [chorus I saw you suffering Through the cracked and dirty window pane I was ashamed that I was watching yeah Going through your imagination Looking for a life you could create And become somebody else yeah With another face With another name No more suffering [verse] I wish that I could find a seed And plant a tree that grows so high So that I could climb And harvest the ripe stars For you and I to drink And spit the ashes from our mouths And put the grey back in the clouds And send them packing with our bags Of old regrets and sorrows 'Cause they don't do a thing but drag us down So far down The past is like a braided rope Each moment tightly coiled inside [chorus] I saw you suffering Through the yellow window of a train With everybody watching yeah Too tired for imagining That you could ever love somebody else From somewhere far away From another time And another place With another life And another face And another name And another name No more suffering.,,,
Chris Cornell,Worried Moon,[verse] Worried moon shining bright Can I sleep here tonight right beside you? I got a long way to go I'll be off in the morning And I hope but I don't know If she will have me back again Or only want me for a friend And leave a stain across my heart That never washes out  [verse] Nervous moon In the clouds There's a halo around your proud face And I'm glad that we're friends I might see you again Sooner or later I guess  [bridge] Yeah if it all goes wrong And I'm a heart without a home Maybe you can talk me out Of doing myself in,[chorus] Worried moon I'm afraid of what's to come Worried moon Yeah tell me what you know Worried moon You see further down the road Worried moon  [verse] There you are looking down I'll be here on the ground if you need me As I dream of a ghost Of a love that has died  Or maybe not but it haunts me now  [chorus] Worried moon I'm afraid of what's to come Worried moon Yeah tell me what you know Worried moon You see further down the road Worried moon  Looking up you are gone I got into the city at midnight All these eyes looking on Make me blind or put me down And the noise just drowns me out [chorus] Worried moon I'm afraid of what's to come Worried moon Yeah tell me what you know Worried moon You see further down the road Worried moon [outro] Dirty moon on the rise Orange as fire but a bitter cold You'll remember me I know 'Cause I have moved to another coast With a new love to call my own Maybe one day you can bathe us In your blue light Worried moon Worried moon,,,
Chris Cornell,Wrong Side,[verse] When I was just a boy of ten My father met a miner’s death Trapped inside through twenty nights No one made it out alive So there I was alone but free The master of my destiny And trouble found me right away My close companions since that day,[chorus] And I’m on the side of the road again I’m on the wrong side my friend Whichever way the wind is blowing No matter where the river bends I'm on the side of wrong again [verse] At 21 I fell in love To a girl of 16 years But a jealous father ran me down Left me in the road for dead So I decided there and then I’d find the car I’d take revenge But the fire caught the house and fields I haven’t slept a whole night since [chorus] And I’m on the side of wrong again I’m on the wrong side my friend Whichever way the wind is blowing No matter where the river bends I’m on the side alone again I’m on the side of wrong again [bridge] I ran three years and finally stopped Cut my hair and found a job Working in a road café Sleeping in the parking lot Late one night the store was robbed The owner dead his boy was shot And I’m the only one he sold Now I’m waiting for the trap door to drop [chorus] And I’m on the side of the road again I’m on the wrong side my friend Whichever way the wind is blowing No matter where the river bends I’m on the side alone again I’m on the side of wrong again I’m on the side of wrong again,,,
Darby Crash,American Leather,[verse] Looking for a way out I put my foot out of line Really like to break-out I feel so confined,[chorus] American leather The poinsous members Not alone-not together Their American leather [verse] Saw you on a dark road Brought myself along Got a sense of conflict But I know what's wrong [chorus] American leather The poinsous members Not alone-not together Their American leather [chorus] American leather The poinsous members Not alone-not together Their American leather [verse] I know that kinda feeling So I built my place up high But you'll never find me kneeling Cause I'm too occupied [chorus] American leather The poinsous members Not alone-not together Their American leather,,,
Darby Crash,Caught In My Eye,[verse] Though your dark eyes You can feel my Every sin When I walk right Into a straight line This world of yours I got you caught in my eye again,[chorus] You're the fall guy In the corner Of my gloom It feels like Everything I see Is nothing new I got you caught in my eye again [verse] There's a door there That opens Without you And the door lies With its open keys To my room [outro] Flames of the torch light Fill my thighs And I crave fulfill And I consume 'em But I don't give I got you caught in my eye again,,,
Darby Crash,Communist Eyes,[verse] I'm looking through Communist eyes I'm seeing planes in bloodshot skies I see the flag of a working people Who conceal the lies in the stars And sickle It's a double edge,[chorus] Communist eyes-c'mon inside I can't ever find the way out Communist eyes-lost inside I never get a day out [verse] I'm looking through Communist eyes All I see is an old man's alibi There's a world outside But I'm unaware I open my books but the pages stare It's a double edge [chorus] Communist eyes-all so blind I can't even play the game now [outro] I'm living through Communist times I wave my flag and hold me head high I can feel the glory of my Comrades in masses But I'm waiting for the day When this madness passes It's a double edge...,,,
Darby Crash,Dragon Lady,[verse] You walk to the temple on the boulevard You know the way in cause you're The son of God She opens the door with A sardonic glance You drop to the floor making your plans ,[chorus] It's a real cool parody That's my dragon lady In a low society with no variety She lives a tongue on cheek dream [verse] There's something in her eyes That nature denied She's a whirlwind creature of cultural ties A preacher of schemes and self denial She talks up a storm with news and belial [chorus] It's a real cool parody That's my dragon lady In a low society with no variety She lives a tongue on cheek dream [verse] To live in Braham tragedy Driven it seems by fantasies A life like this is sad to see A smile kept quite in reverie The clock on the matle hands stop crossed The rug on the floors a resting place for the dust The talk of the town yet she's never been seen A loving relation with a well trained machine [chorus] It's a real cool parody That's my dragon lady In a low society with no variety She lives a tongue on cheek dream ,,,
Darby Crash,Land of Treason,,,,,Land of treason-waste no reason- We are breathing fire We're packs of dogs- We're enemies of men-we are not desired Our face show- We've grown cold-but Have not conspired Old hearts gone- The future's on-mother nations mired I like a recepticle for the chosen dead We find our bodies clawed And with the scent of death We find that we are not so very awed  Loyalties burned- The words our blurred-overturn your own Walk like dogs and watch the doors- Have your other stone Stop the toys that match disordered- Calculate the thrones Feel the pulse descending- Decaying hallowed tomes In the starving sense you worship- The nations of debris You wear a cost of sewage- That you've never ever seen   The time is now-the vicious here- A stolen dinner code The license of the savage land- That you've always sold So bite the hand that needs you And bless another coal The virus never issues- From a cotton so very old As the lights come down You wash your hands and start to climb The ladder that you stole Slip the hatch-and spin the sword- The money lords are poor Push the tan-that rolls downhill- Their sense of dream absorbed Still the cat that breaks the night- Tie him to the core Chase the viruses that believe- That what's right is scored It's a senseless cash in of right for right- What's wrong is never gone And left is just a bastion for the fools Golden dawn
Darby Crash,Let's Pretend,,,,,Out on the streets what ya lookin' for That thing in your bed's just another whore That tear in your eyes not a tear at all For that girl that you touch you could never fall That stream in your mind it's a tearin' sty  Let's pretend you're vicious Let's pretend you're cool Let's pretend suspicious Let's pretend you're fools  Your leather is tight but you wear it full 'Gether is right but you gotta be cool You cut your wrists but you don't feel the pain You change your mind but you still feel the same To dream ain't your kind just another lie...  Let's pretend you're vicious Let's pretend you're cool Let's pretend suspicious Let's pretend you're fools  Sell us a story that we can believe Spend your dollars on pills for relief Love is a future that you still can't see Standing answers to questions are free Scream in your boredom life's just to die   Let's pretend you're vicious Let's pretend you're cool Let's pretend suspicious Let's pretend you're fools  Dive in problems just like stealin' a fix Is your life to live or is it for kicks Kick dirt in the faces of angry dream men Stand on your chairs and spell don't let me in Don't stand in the light cuz you know you can't cry  Let's pretend you're vicious Let's pretend you're cool Let's pretend suspicious Let's pretend you're fools
Darby Crash,Lexicon Devil,,[chorus] I'm a lexicon devil with a battered brain And I'm lookin' for a future the world's my aim So gimme gimme your hands gimme gimme your minds So gimme gimme your hands gimme gimme your minds Gimme gimme this gimme gimme that [verse] I want toy tin soldiers that can push and shove I want gun boy rovers that'll wreck this club I'll build you up and level your heads We'll run it my way cold men and politics dead [chorus] I'm a lexicon devil with a battered brain And I'm lookin' for a future the world's my aim So gimme gimme your hands gimme gimme your minds So gimme gimme your hands gimme gimme your minds Gimme gimme this gimme gimme that [verse] I'll get silver guns to drip old blood Let's give this established joke a shove We're gonna wreak havoc on this rancid mill I'm searchin' for something even if I'm killed [chorus] I'm a lexicon devil with a battered brain And I'm lookin' for a future the world's my aim So gimme gimme your hands gimme gimme your minds So gimme gimme your hands gimme gimme your minds Gimme gimme this gimme gimme that [verse] Empty out your pockets you don't need their change I'm giving you the power to rearrange Together we'll run to the highest prop Tear it down and let it drop away [chorus] I'm a lexicon devil with a battered brain And I'm lookin' for a future the world's my aim So gimme gimme your hands gimme gimme your minds So gimme gimme your hands gimme gimme your minds Gimme gimme this gimme gimme that,,,
Darby Crash,Manimal,,[chorus] I came into this world like a puzzled panther Wanting to be caged But something stood in the way I was never quite tamed [verse] I crossed the paths of right and wrong - And saw them take their toll I saw armies that marched And like animals they crawled [chorus] I came into this world like a puzzled panther Wanting to be caged But something stood in the way I was never quite tamed [verse] Evolution is a process too slow To save my soul But I've got this creature on my back And it just won't let go [outro] If I am only an animal Then I can do no wrong But they say I'm something better So I've gotta hold on,,,
Darby Crash,Media Blitz,,[chorus] I've got television I've got supervision No decisons for you Media blitz-media blitz Immediate hits-we rule [verse] Don't steal your eyes off the TV screen Can you realize we're what we've seen Take an injection from the mad machine Don't read the papers read between the lines We're vision rapers and we seed the signs You'll play your part in the master mind [bridge] We feed the science We deal in riots We play by ideal time We're a gov'ment fix All social convicts Watch the idle rhymes [chorus] I've got television I've got supervision No decisons for you Media blitz-media blitz [outro] Bleed your heart out-that's all it's worth Before you ever start-we planned it first Forget the truth-accept your curse,,,
Darby Crash,Our Way,,[chorus] Down in the crowd we're down On our knees Wanna get out but Don't wanna succeed We're the red-eyed legends Of the night before We're the dead mind babies Of the T.V. war- [outro] Living in a rectory of sin Against the currents we all swim Cageless wonders of sometime when The paper icon's chase will end-,[intro] Clara would be proud to know us We've taken it to the end Where the grey turns to black And the white just begins- [bridge] We live everyday on the water The night just kills the pain From the suffering that was We are no stronger-we are dust-,,
Darby Crash,Richie Dagger's Crime,,[chorus] I'm Richie Dagger I can stomp and swagger I can take on all your heroes I'm Richie Dagger I'm young and i'm haggard The boy that nobody owns  [verse] He sits in his corner like a child despised A crazy sort of cast comes over his eyes- That's Richie Dagger's crime  He's that sort of boy that was never much loved His idea of fun was society's grudge- That's Richie Dagger's crime  His life was such a mess And his friends weren't quite the best But he was satisfied- That's Richie Dagger's crime Suck me in and spit me out Devour me in haste- [chorus] I'm Richie Dagger I can stomp and swagger I can take on all your heroes I'm Richie Dagger I'm young and i'm haggard The boy that nobody owns   He could set your mind ablaze With sparkling eyes and visionary case He stood like a remnant from an outbreak past Wore something in his ear And boy was he sass- [chorus] I'm Richie Dagger I can stomp and swagger I can take on all your heroes I'm Richie Dagger I'm young and i'm haggard The boy that nobody owns,,,
Darby Crash,Shut Down,[verse] Let me touch the tips of inculcated desire And brush the fettered veil away Shut down in the depths I lay... If you want nothin' then I've got nothin' I'm your annihilation man Lemme get control I've got your minds Now I want Your souls lemme get control I've got your minds Now I want control I need control... If you want somethin' then I've got somethin' I'm your annihilation man...,,,,
Darby Crash,Strange Notes,,,,,Billy Druids face is marble He keeps every thought in its place He lets the days turn tomorrow Someone's always walking On his grave  He wears the lines just like Garbo And talks at a saturmine pace Listening to the strange notes marvel Only giving what it takes  It's a sad man's world And for Billy it's sure to crown Dragging beauty into darkness Inflciting a pale white frown  And the matter the runs Through Billy's head Is too concerned to fall
Darby Crash,The Other Newest One,[verse] I feel your body's close to mine I hear your breath and mine in time I know I'm nothing but it's you that I need I touch your skin and it starts to feed You're not the first you're not the last Another day another crash,[chorus] My eyes meet yours in secret glance Our bodies look in ancient stance You whisper something and I know it's good You're acting crazy just like I knew you would  You're not the first you're not the last Another day another crash [verse] Embracing my life between your thighs We will perform in the deadly skies Reducing my mind to endless nights You send my dreams to their demise Realized by your last breath  I take your hair into my hands I pull it tight to fill your demands I feed my body into yours I know it's right cause that's my soul you stir  You're not the first you're not the last Another day another crash,,,
Darby Crash,The Slave,,[chorus] You're lashed 'twixt the stars With your ice and motor cars You do the slave to the beat Of the neuro-sutra can can Oh yea! Yea! Pull out the zen I've got a Buddhist principle in my hand Your life seems wasted your bodies laced in Don't stop now you've got to trace it... [verse] You put your hands together Writhe in the shackle You twist your body round 'Til it starts to crackle You do the slave to the beat Of the neuro-sutra can can... [outro] Right here right now shake it in and out some Lights on off now make it spin and fight now,[intro] It starts in your head And moves to your hands Your body starts shakin' 'Cause you're in demand You do the slave to the beat Of the neuro-sutra can can...,,
Darby Crash,We Must Bleed,[verse] It's Sunday and the streets aren't clear The traffic's screaming But we can't hear The sounds the metals Driving us mad The sounds the metals Driving us mad The sounds the metals Driving us mad Driving us mad oh Driving us mad We must bleed we must bleed We must bleed we must bleed,[chorus] The crash as the bottle breaks Flashes it will through my veins The pain the colors Making me sane The pain the colors Making me sane The pain the colors Making me sane The pain the colors Making me sane We must bleed we must bleed We must bleed we must bleed  [outro] I'm not one I'm two I'm not one I'm two I'm not one I'm two I want out now I want out now I want out now now now now now Now now now...,,,
Darby Crash,What We Do Is Secret,[verse] Standing in the line we're abberations Defects in a defect's mirror And we've been here all the time Real fixations Hidden deep in the furor- What we do is secret-secret!,[chorus] We're influential guys for the D.C.C We can lie so perfect And we've got a party line To every call It's a very short circuit- What we do is secret-secret! [verse] Licensed to drill with the torch In our lives Walking on shallow water Progressed to the Point of no distinction Dementia of a higher order- What we do is secret-secret!,,,
Dave Rubinstein,(Are You) Happy,[verse] Nervous twitching anxious bitching Is something disturbing you? Nervous laughter - what ya after? Ha ha the joke's on you!,[chorus] Are you really happy? Are you happy? Pompous bragging neurotic nagging Expose your insecurities Aggravated irritated You're the perfect picture of misery  Are you really happy? Huh? ...You're not happy? [verse] Ha ha ha... you're soooo cool Ha ha ha... but the joke's on you!  Ha ha honey ain't it funny How some people are such hapless fools Ha ha honey ain't it funny The punch line is the joke is you! ...ha ha ha,,,
Dave Rubinstein,Anytown,,"[chorus] Run spot run Run spot run [verse] At 6 the milkman comes around Another day in anytown I wake up with a frown Another day in anytown [verse] Run spot run Run spot run  I called up Sally Dick and Mark We took my dog spot to the park We watched him run and heard him bark Then spot ran way into the dark [chorus] Run spot run Run spot run [verse] I had to go and tell my dad I said ""Anytown just makes me sad"" He said ""Son thats pretty bad"" He said ""I must be going mad""  [bridge] Take him away! Take him away! Take him away! Take him away! [outro] I dont want to live in anytown Anytown just brings me down I dont want to live in anytown Anytown just makes me frown",[intro] Hey wheres spot? Mom wheres spot? He ran away,,
Dave Rubinstein,Degenerated,,[chorus] What's Johnny doin' out on Tuesday night When Johnny can't read and Johnny can't write Johnny just don't understand Johnny don't care about this world As long as he can fuck his girl And prove that he's a man [verse] Johnny wastes his days eatin' 'ludes He's a teenage vegetable Getting high proves that he's cool Johnny hates to think he's ignorant He's a mindless brainwashed pig Ring a bell you start to drool [bridge] Degenerated degenerated and your minds have vegetated! Degenerated degenerated and your thoughts are constipated! [outro] He's got P.C.P. in his veins He's got a void in his brain He's addicted to the TV And when he's old he's gonna have a son Both grow old deaf and dumb What's to become of young Johnny?,[intro] This big daddy. I wanna see my boy anybody seen my boy? Big dad comin' out Yo man he cut out with that D and the chick man He cut out with the D and the chick man!  I was a teenage zombie!,,
Dave Rubinstein,Go Nowhere,[verse] Living your life on the conveyor belt No time to think so your brain just melts No destination you're lost inside Standing still deaf dumb and blind! Go!... [verse] A whole generation of gonowheres The living dead in 3-D life A whole generation of stagnant lives Standing still deaf dumb and blind [outro] You're a gonowhere! And you don't care! You're a gonowhere! You're fucking lost! ,,[intro] You're a go nowhere! And you don't care! You're a go nowhere! You're not even there!,,
Dave Rubinstein,In Dog We Trust,[verse] Inquisition says we'll burn in hell Damnation for the infidel Gonna start and spread some heresy? Ya' gotta expect a certain misery They're gonna make it really interesting They're gonna go and teach democracy Whatever God that could exterminate Whatever God that can't tolerate,[chorus] In dog we trust In dog we trust In dog we trust In dog we trust In dog we trust In God you trust In God you trust In God you lust [outro] God damn you God damn me God damn who?,,,
